Date,Open,High,Low,Close,Adj Close,Volume
2019-04-04,34.480000,35.025002,34.119999,34.810001,33.430668,2162888
2019-04-05,34.794998,35.189999,34.724998,35.099998,33.709175,2202997
2019-04-08,35.099998,35.299999,34.930000,34.930000,33.545914,1761204
2019-04-09,34.805000,35.215000,34.580002,34.645000,33.272205,1799491
2019-04-10,34.650002,35.314999,34.650002,35.000000,33.613136,1861486
2019-04-11,35.145000,35.910000,34.990002,35.555000,34.146145,2096914
2019-04-12,35.689999,36.180000,35.244999,35.880001,34.458271,1381178
2019-04-15,35.884998,36.160000,35.709999,36.119999,34.688759,1261459
2019-04-16,36.080002,36.820000,36.035000,36.759998,35.303398,2022728
2019-04-17,36.834999,37.099998,36.695000,36.915001,35.452259,1594807
2019-04-18,36.720001,37.200001,36.349998,36.869999,35.409039,2053422
2019-04-23,36.669998,36.700001,36.314999,36.485001,35.039295,1358762
2019-04-24,36.395000,36.735001,36.145000,36.185001,34.751183,1435124
2019-04-25,36.110001,36.240002,35.610001,35.724998,34.309410,1821927
2019-04-26,36.310001,36.465000,35.904999,36.139999,34.707966,2070612
2019-04-29,36.275002,36.535000,36.130001,36.439999,34.996078,1135155
2019-04-30,36.290001,36.610001,36.180000,36.439999,34.996078,1587134
2019-05-02,36.494999,36.799999,36.070000,36.330002,34.890438,1555765
2019-05-03,36.294998,36.310001,35.990002,36.119999,34.688759,1219243
2019-05-06,35.400002,35.485001,34.884998,35.485001,34.078922,1690216
2019-05-07,35.555000,35.560001,34.549999,34.700001,33.325027,2278767
2019-05-08,34.500000,35.040001,34.389999,34.875000,33.493092,1314257
2019-05-09,34.630001,34.630001,33.910000,33.965000,32.619148,1991291
2019-05-10,34.240002,34.459999,33.965000,34.014999,32.667168,1243649
2019-05-13,34.130001,34.150002,33.290001,33.389999,32.066933,1643074
2019-05-14,33.599998,33.910000,33.525002,33.834999,32.494301,1358679
2019-05-15,34.185001,34.279999,33.459999,34.044998,32.695976,1760198
2019-05-16,34.000000,34.490002,33.820000,34.490002,33.123348,1690825
2019-05-17,34.325001,34.375000,33.775002,34.099998,32.748798,2268964
